source_id,paper_title,final_status,extraction_readiness,local_relpath,current_folder,notebook_present,local_present,local_file_exists,expected_folder_group,folder_status,local_presence_status
,Pogoreutz et al. - 2017 - Sugar enrichment provides evidence for a role of n.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Pogoreutz et al. - 2017 - Sugar enrichment provides evidence for a role of n.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
,Putnam and Gates - 2015 - Preconditioning in the reef-building coral Pocillo.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Putnam and Gates - 2015 - Preconditioning in the reef-building coral Pocillo.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
f03ad219-9305-4be5-87b2-05d117103745,Rapuano et al. - 2023 - Coming of age Annual onset of coral reproduction is determined by age rather than size.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Rapuano et al. - 2023 - Coming of age Annual onset of coral reproduction is determined by age rather than size.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
3c3ec990-34c7-4bdb-bb49-e8d31bf6c201,Renegar et al. - Coral Ultrastructural Response to Elevated pCO2 and Nutrients During Tissue Repair and Regeneration.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Renegar et al. - Coral Ultrastructural Response to Elevated pCO2 and Nutrients During Tissue Repair and Regeneration.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
6587b0e6-d462-492e-b2aa-177f3d11247d,Renegar - 2015 - Histology and ultrastructure of Montastraea cavernosa  and Porites astreoides during regeneration an.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Renegar - 2015 - Histology and ultrastructure of Montastraea cavernosa  and Porites astreoides during regeneration an.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
c7986629-6d1d-454e-891d-dbd1b6664310,Rinkevich - 1996 - Do reproduction and regeneration in damaged corals compete for energy allocation.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Rinkevich - 1996 - Do reproduction and regeneration in damaged corals compete for energy allocation.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
e2690aff-5a20-4205-9f93-4c0f46c8d749,Rodríguez-Villalobos et al. - 2016 - Wound repair in Pocillopora.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Rodríguez-Villalobos et al. - 2016 - Wound repair in Pocillopora.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
